club,raw_label,division_key,headcount,school,rooms,schedule_team,games
Sverresborg,"J2014,2 lag",J2014,23,ELVIS,"C111,C210",Sverresborg 2,"Elverum Yngres Cup - Jenter 10 år - 02|08:38|Elverumshallen - Kortbane|Elverum 2,Elverum Yngres Cup - Gutter 10 år - 01|12:26|Elverumshallen - Kortbane|Hasle-Løren Rød,Elverum Yngres Cup - Gutter 10 år - 02|15:36|Elverumshallen - Kortbane|Røros,Elverum Yngres Cup J13 B-sluttspill|10:41|Elverumshallen|Jømna/Heradsbygd,Elverum Yngres Cup - Gutter 12 år - 01|11:27|Elverumshallen|Elverum,Elverum Yngres Cup - Gutter 12 år - 02|12:24|Elverumshallen|Elverum 2,Elverum Yngres Cup - Jenter 12 år - 04|14:37|Elverumshallen|Koppang,Elverum Yngres Cup - Jenter 13 år - 02|08:57|Elvishallen|Jømna/Heradsbygd,Elverum Yngres Cup - Jenter 13 år - 02|11:38|Elvishallen|Hasle-Løren,Elverum Yngres Cup - Jenter 13 år - 01|13:33|Elvishallen|Røros,Elverum Yngres Cup - Gutter 12 år - 01|15:28|Elvishallen|Gjøvik HK,Elverum Yngres Cup - Gutter 12 år - 01|18:09|Elvishallen|Heradsbygda,Elverum Yngres Cup - Jenter 11 år - 01|08:42|Elvishallen|Elverum 3,Elverum Yngres Cup - Jenter 11 år - 03|10:17|Elvishallen|HK Vestre Toten 2,Elverum Yngres Cup - Jenter 11 år - 03|12:30|Elvishallen|Tune Grønn,Elverum Yngres Cup - Gutter 12 år - 02|15:40|Elvishallen|Kolbu KK,Elverum Yngres Cup - Jenter 13 år - 01|20:18|Terningen Arena|Årdalstangen,Elverum Yngres Cup - Jenter 11 år - 01|08:57|Terningen Arena|Gjøvik HK 3,Elverum Yngres Cup - Jenter 11 år - 03|10:51|Terningen Arena|Elverum 2,Elverum Yngres Cup - Jenter 12 år - 04|14:58|Terningen Arena|Hasle-Løren Grønn,Elverum Yngres Cup J13 A-sluttspill|10:44|Terningen Arena|Årdalstangen,Elverum Yngres Cup J13 B-sluttspill|12:08|Terningen Arena|Hasle-Løren 2,Elverum Yngres Cup - Gutter 10 år - 01|09:16|Herneshallen - Kortbane|Furnes,Elverum Yngres Cup - Gutter 10 år - 02|10:32|Herneshallen - Kortbane|Elverum 3,Elverum Yngres Cup - Jenter 10 år - 02|12:45|Herneshallen - Kortbane|Hasle-Løren Grønn,Elverum Yngres Cup - Jenter 10 år - 03|13:42|Herneshallen - Kortbane|Hasle-Løren Rød,Elverum Yngres Cup - Jenter 12 år - 04|08:00|Herneshallen|Heradsbygda 2,Elverum Yngres Cup - Jenter 10 år - 02|09:54|Herneshallen - Kortbane|Flisa 2,Elverum Yngres Cup - Jenter 10 år - 03|10:32|Herneshallen - Kortbane|Lisleby Gul,Elverum Yngres Cup - Jenter 11 år - 01|14:20|Herneshallen|Røros,Elverum Yngres Cup - Jenter 10 år - 03|08:38|Ydalir skole idrettshall - Kortbane|Trysil IL,Elverum Yngres Cup - Gutter 12 år - 01|08:57|Ydalir skole idrettshall|Ottestad 2,Elverum Yngres Cup - Gutter 12 år - 02|09:35|Ydalir skole idrettshall|Ottestad,Elverum Yngres Cup - Jenter 12 år - 04|11:10|Ydalir skole idrettshall|Rena IL,Elverum Yngres Cup - Jenter 11 år - 01|13:04|Ydalir skole idrettshall|Ottestad,Elverum Yngres Cup - Gutter 10 år - 01|09:54|Ydalir skole idrettshall - Kortbane|Elverum,Elverum Yngres Cup - Gutter 10 år - 02|12:45|Ydalir skole idrettshall - Kortbane|Hasle-Løren Blå,Elverum Yngres Cup - Gutter 10 år - 02|15:36|Ydalir skole idrettshall - Kortbane|Rena IL,Elverum Yngres Cup - Jenter 13 år - 01|09:32|Søndre Elverum Idrettshall|Elverum,Elverum Yngres Cup - Gutter 12 år - 02|12:31|Søndre Elverum Idrettshall|Gjøvik HK 2,Elverum Yngres Cup - Jenter 13 år - 02|13:09|Søndre Elverum Idrettshall|Borgen,Elverum Yngres Cup - Jenter 13 år - 02|16:36|Søndre Elverum Idrettshall|Utleira 2,Elverum Yngres Cup - Jenter 10 år - 03|12:45|Søndre Elverum Idrettshall - Kortbane|HK Vestre Toten,Elverum Yngres Cup - Jenter 10 år - 02|13:04|Søndre Elverum Idrettshall - Kortbane|Lisleby Blå,Elverum Yngres Cup - Gutter 10 år - 01|14:20|Søndre Elverum Idrettshall - Kortbane|Trysil,Elverum Yngres Cup - Jenter 11 år - 03|15:38|Søndre Elverum Idrettshall|Jardar Blå"
Trysil,G2014,G2014,9,YDALIR,2.051,Trysil,"Elverum Yngres Cup - Jenter 12 år - 03|19:35|Elverumshallen|Elverum 2,Elverum Yngres Cup - Jenter 13 år - 03|20:32|Elverumshallen|Ring IL,Elverum Yngres Cup - Gutter 10 år - 01|15:17|Elverumshallen - Kortbane|Røros 2,Elverum Yngres Cup - Jenter 13 år - 03|09:43|Elvishallen|Hasle-Løren 2,Elverum Yngres Cup - Jenter 13 år - 03|12:24|Elvishallen|Bøler,Elverum Yngres Cup - Jenter 12 år - 03|14:24|Elvishallen|Jotun 2,Elverum Yngres Cup - Jenter 12 år - 03|14:01|Terningen Arena|Heradsbygda,Elverum Yngres Cup J13 A-sluttspill|09:58|Terningen Arena|Borgen,Elverum Yngres Cup - Gutter 10 år - 01|09:54|Herneshallen - Kortbane|Elverum 2,Elverum Yngres Cup - Jenter 12 år - 03|08:19|Ydalir skole idrettshall|Hasle-Løren Blå,Elverum Yngres Cup - Gutter 10 år - 01|10:51|Ydalir skole idrettshall - Kortbane|Vaaler,Elverum Yngres Cup - Jenter 13 år - 03|14:41|Søndre Elverum Idrettshall|Utleira,Elverum Yngres Cup - Gutter 10 år - 01|14:20|Søndre Elverum Idrettshall - Kortbane|Sverresborg"
Trysil,J2011,J2011,10,YDALIR,2.049,Trysil,"Elverum Yngres Cup - Jenter 12 år - 03|19:35|Elverumshallen|Elverum 2,Elverum Yngres Cup - Jenter 13 år - 03|20:32|Elverumshallen|Ring IL,Elverum Yngres Cup - Gutter 10 år - 01|15:17|Elverumshallen - Kortbane|Røros 2,Elverum Yngres Cup - Jenter 13 år - 03|09:43|Elvishallen|Hasle-Løren 2,Elverum Yngres Cup - Jenter 13 år - 03|12:24|Elvishallen|Bøler,Elverum Yngres Cup - Jenter 12 år - 03|14:24|Elvishallen|Jotun 2,Elverum Yngres Cup - Jenter 12 år - 03|14:01|Terningen Arena|Heradsbygda,Elverum Yngres Cup J13 A-sluttspill|09:58|Terningen Arena|Borgen,Elverum Yngres Cup - Gutter 10 år - 01|09:54|Herneshallen - Kortbane|Elverum 2,Elverum Yngres Cup - Jenter 12 år - 03|08:19|Ydalir skole idrettshall|Hasle-Løren Blå,Elverum Yngres Cup - Gutter 10 år - 01|10:51|Ydalir skole idrettshall - Kortbane|Vaaler,Elverum Yngres Cup - Jenter 13 år - 03|14:41|Søndre Elverum Idrettshall|Utleira,Elverum Yngres Cup - Gutter 10 år - 01|14:20|Søndre Elverum Idrettshall - Kortbane|Sverresborg"
Trysil,J2014,J2014,12,YDALIR,2.076,Trysil IL,"Elverum Yngres Cup - Jenter 10 år - 03|13:04|Herneshallen - Kortbane|Lisleby Gul,Elverum Yngres Cup - Jenter 10 år - 03|10:13|Herneshallen - Kortbane|Elverum 3,Elverum Yngres Cup - Jenter 10 år - 03|08:38|Ydalir skole idrettshall - Kortbane|Sverresborg,Elverum Yngres Cup - Jenter 10 år - 03|12:07|Søndre Elverum Idrettshall - Kortbane|Hasle-Løren Rød"
Tune IL,"J2013,2 lag",J2013,19,ELVERUM UNGDOMSSKOLE,A012,Tune Rød,"Elverum Yngres Cup - Jenter 11 år - 02|09:39|Elvishallen|Gjøvik HK,Elverum Yngres Cup - Jenter 11 år - 03|12:30|Elvishallen|Sverresborg,Elverum Yngres Cup - Jenter 11 år - 02|09:54|Terningen Arena|Hasle-Løren Blå,Elverum Yngres Cup - Jenter 11 år - 03|11:10|Terningen Arena|Gjøvik HK 2,Elverum Yngres Cup - Jenter 11 år - 02|15:17|Herneshallen|Røros 2,Elverum Yngres Cup - Jenter 11 år - 03|15:55|Herneshallen|HK Vestre Toten 2,Elverum Yngres Cup - Jenter 11 år - 02|14:01|Ydalir skole idrettshall|Jømna/Heradsbygd,Elverum Yngres Cup - Jenter 11 år - 03|14:58|Ydalir skole idrettshall|Jardar Blå"
Tydal,"J2013,2 lag",J2013,17,FRYDENLUND,D124,Tydal 2,"Elverum Yngres Cup - Jenter 11 år - 01|09:01|Elvishallen|Ottestad,Elverum Yngres Cup - Jenter 11 år - 02|09:58|Elvishallen|Jømna/Heradsbygd,Elverum Yngres Cup - Jenter 11 år - 01|09:16|Terningen Arena|Elverum 3,Elverum Yngres Cup - Jenter 11 år - 02|10:13|Terningen Arena|Gjøvik HK,Elverum Yngres Cup - Jenter 11 år - 01|14:39|Herneshallen|Bjørkelangen/Høland,Elverum Yngres Cup - Jenter 11 år - 02|15:36|Herneshallen|Elverum,Elverum Yngres Cup - Jenter 11 år - 01|12:45|Ydalir skole idrettshall|Gjøvik HK 3,Elverum Yngres Cup - Jenter 11 år - 02|13:42|Ydalir skole idrettshall|Hasle-Løren Blå"
Utleira,J2010,J2010,12,ELVIS,E163,Utleira,"Elverum Yngres Cup J14 Sluttspill|09:55|Elverumshallen|Varde,Elverum Yngres Cup - Jenter 13 år - 03|10:06|Elvishallen|Bøler,Elverum Yngres Cup - Jenter 14 år - 02|10:52|Elvishallen|Ring IL,Elverum Yngres Cup - Jenter 14 år - 02|18:46|Terningen Arena|Varde 2,Elverum Yngres Cup - Jenter 13 år - 03|19:32|Terningen Arena|Hasle-Løren 2,Elverum Yngres Cup - Gutter 11 år|08:38|Terningen Arena|Elverum 2,Elverum Yngres Cup - Gutter 11 år|08:57|Terningen Arena|Drøbak/Frogn Blå,Elverum Yngres Cup J13 A-sluttspill|09:35|Terningen Arena|Elverum,Elverum Yngres Cup - Gutter 11 år|11:07|Terningen Arena|Hasle-Løren Blå,Elverum Yngres Cup - Gutter 11 år|11:48|Ydalir skole idrettshall|Elverum,Elverum Yngres Cup - Jenter 13 år - 03|14:41|Søndre Elverum Idrettshall|Trysil,Elverum Yngres Cup - Jenter 14 år - 02|15:27|Søndre Elverum Idrettshall|Kongsvinger,Elverum Yngres Cup - Jenter 13 år - 03|16:59|Søndre Elverum Idrettshall|Ring IL"
Utleira,"J2011,2 lag",J2011,21,ELVIS,E162,Utleira 2,"Elverum Yngres Cup J13 B-sluttspill|08:46|Elverumshallen|Ring IL,Elverum Yngres Cup J14 Sluttspill|09:55|Elverumshallen|Varde,Elverum Yngres Cup - Jenter 13 år - 02|20:25|Elvishallen|Jømna/Heradsbygd,Elverum Yngres Cup - Jenter 13 år - 02|09:20|Elvishallen|Hasle-Løren,Elverum Yngres Cup - Jenter 13 år - 03|10:06|Elvishallen|Bøler,Elverum Yngres Cup - Jenter 14 år - 02|10:52|Elvishallen|Ring IL,Elverum Yngres Cup - Jenter 13 år - 02|12:01|Elvishallen|Borgen,Elverum Yngres Cup - Jenter 14 år - 02|18:46|Terningen Arena|Varde 2,Elverum Yngres Cup - Jenter 13 år - 03|19:32|Terningen Arena|Hasle-Løren 2,Elverum Yngres Cup - Gutter 11 år|08:38|Terningen Arena|Elverum 2,Elverum Yngres Cup - Gutter 11 år|08:57|Terningen Arena|Drøbak/Frogn Blå,Elverum Yngres Cup J13 A-sluttspill|09:35|Terningen Arena|Elverum,Elverum Yngres Cup - Gutter 11 år|11:07|Terningen Arena|Hasle-Løren Blå,Elverum Yngres Cup J13 B-sluttspill|11:45|Terningen Arena|Røros,Elverum Yngres Cup J13 B-sluttspill|15:00|Terningen Arena|Hasle-Løren 2,Elverum Yngres Cup - Gutter 11 år|11:48|Ydalir skole idrettshall|Elverum,Elverum Yngres Cup - Jenter 13 år - 03|14:41|Søndre Elverum Idrettshall|Trysil,Elverum Yngres Cup - Jenter 14 år - 02|15:27|Søndre Elverum Idrettshall|Kongsvinger,Elverum Yngres Cup - Jenter 13 år - 02|16:36|Søndre Elverum Idrettshall|Sverresborg,Elverum Yngres Cup - Jenter 13 år - 03|16:59|Søndre Elverum Idrettshall|Ring IL"
Varde IL,"J2012,2 lag",J2012,16,ELVERUM UNGDOMSSKOLE,"A011,grupperom i A",Varde 2,"Elverum Yngres Cup - Jenter 12 år - 01|18:57|Elverumshallen|Gjøvik HK,Elverum Yngres Cup J14 Sluttspill|09:55|Elverumshallen|Utleira,Elverum Yngres Cup - Jenter 12 år - 01|14:56|Elverumshallen|Hasle-Løren Gul,Elverum Yngres Cup - Jenter 12 år - 02|15:34|Elverumshallen|Hasle-Løren Rød,Elverum Yngres Cup - Jenter 12 år - 01|08:00|Elvishallen|Bøler Blå,Elverum Yngres Cup - Jenter 14 år - 01|10:29|Elvishallen|Elverum,Elverum Yngres Cup - Jenter 14 år - 02|13:10|Elvishallen|Kongsvinger,Elverum Yngres Cup - Jenter 14 år - 01|18:00|Terningen Arena|Elverum,Elverum Yngres Cup - Jenter 14 år - 02|18:46|Terningen Arena|Utleira,Elverum Yngres Cup - Jenter 12 år - 01|11:48|Terningen Arena|Heradsbygda 3,Elverum Yngres Cup - Jenter 12 år - 02|12:45|Terningen Arena|Gjøvik HK 2,Elverum Yngres Cup J14 Sluttspill|13:17|Terningen Arena|Nordstrand,Elverum Yngres Cup J14 Sluttspill|13:40|Terningen Arena|Elverum,Elverum Yngres Cup - Jenter 12 år - 02|09:35|Ydalir skole idrettshall|Elverum,Elverum Yngres Cup - Jenter 12 år - 02|08:00|Søndre Elverum Idrettshall|Jotun,Elverum Yngres Cup - Jenter 14 år - 01|09:09|Søndre Elverum Idrettshall|Nordstrand,Elverum Yngres Cup - Jenter 14 år - 01|14:18|Søndre Elverum Idrettshall|Nordstrand,Elverum Yngres Cup - Jenter 14 år - 02|15:04|Søndre Elverum Idrettshall|Ring IL"
Årdalstangen,J2011,J2011,20,ELVIS,B120,Årdalstangen,"Elverum Yngres Cup - Jenter 13 år - 01|13:56|Elvishallen|Elverum,Elverum Yngres Cup - Jenter 13 år - 01|20:18|Terningen Arena|Sverresborg 2,Elverum Yngres Cup J13 A-sluttspill|10:44|Terningen Arena|Sverresborg,Elverum Yngres Cup J13 A-sluttspill|12:54|Terningen Arena|Bøler,Elverum Yngres Cup - Jenter 13 år - 01|10:18|Søndre Elverum Idrettshall|Røros"
